location_id,borough,zone,centroid_lat,centroid_lon,area_sqkm,n_parts
163,Manhattan,Midtown North,40.764421,-73.977569,0.383082,1
164,Manhattan,Midtown South,40.748575,-73.985156,0.52174,1
165,Brooklyn,Midwood,40.620924,-73.956824,3.325895,1
166,Manhattan,Morningside Heights,40.809457,-73.961764,1.479653,1
167,Bronx,Morrisania/Melrose,40.827513,-73.902352,1.569322,1
168,Bronx,Mott Haven/Port Morris,40.807347,-73.916822,3.893166,3
169,Bronx,Mount Hope,40.849058,-73.905122,1.367467,1
170,Manhattan,Murray Hill,40.747746,-73.978492,0.696968,1
171,Queens,Murray Hill-Queens,40.768352,-73.809545,4.87629,1
172,Staten Island,New Dorp/Midland Beach,40.571769,-74.105019,5.147389,1
173,Queens,North Corona,40.752579,-73.863038,1.672356,1
174,Bronx,Norwood,40.877137,-73.879022,1.459576,1
175,Queens,Oakland Gardens,40.742671,-73.754622,4.735786,1
176,Staten Island,Oakwood,40.561994,-74.122583,5.198139,1
177,Brooklyn,Ocean Hill,40.676644,-73.913632,1.867319,1
178,Brooklyn,Ocean Parkway South,40.617315,-73.970326,1.652003,1
179,Queens,Old Astoria,40.77157,-73.928333,1.451261,1
180,Queens,Ozone Park,40.675595,-73.847043,2.325396,1
181,Brooklyn,Park Slope,40.670374,-73.981414,2.881502,1
182,Bronx,Parkchester,40.837749,-73.857987,0.852911,1
183,Bronx,Pelham Bay,40.849172,-73.831582,0.891428,1
184,Bronx,Pelham Bay Park,40.868275,-73.807858,9.160605,15
185,Bronx,Pelham Parkway,40.854405,-73.854394,2.139953,1
186,Manhattan,Penn Station/Madison Sq West,40.748497,-73.992438,0.347687,1
187,Staten Island,Port Richmond,40.628166,-74.140789,3.383648,8
188,Brooklyn,Prospect-Lefferts Gardens,40.658745,-73.947442,2.939406,1
189,Brooklyn,Prospect Heights,40.677635,-73.967587,0.952237,1
190,Brooklyn,Prospect Park,40.661622,-73.968914,2.54366,1
191,Queens,Queens Village,40.715454,-73.741532,6.459868,1
192,Queens,Queensboro Hill,40.743752,-73.815229,3.505989,1
193,Queens,Queensbridge/Ravenswood,40.760313,-73.941997,1.184564,1
194,Manhattan,Randalls Island,40.791,-73.924597,2.180104,1
195,Brooklyn,Red Hook,40.675549,-74.009178,2.245358,1
196,Queens,Rego Park,40.726155,-73.863338,1.852591,1
197,Queens,Richmond Hill,40.694542,-73.830924,4.737003,1
198,Queens,Ridgewood,40.706527,-73.901709,4.690371,1
199,Bronx,Rikers Island,40.791133,-73.882658,1.686635,1
200,Bronx,Riverdale/North Riverdale/Fieldston,40.899528,-73.906988,4.554794,1
201,Queens,Rockaway Park,40.577983,-73.843454,3.498101,1
202,Manhattan,Roosevelt Island,40.761899,-73.949953,0.586851,1
203,Queens,Rosedale,40.657852,-73.739474,5.715552,1
204,Staten Island,Rossville/Woodrow,40.540333,-74.207826,6.033848,1
205,Queens,Saint Albans,40.691201,-73.763146,7.19205,1
206,Staten Island,Saint George/New Brighton,40.638973,-74.102314,5.20902,1
207,Queens,Saint Michaels Cemetery/Woodside,40.763986,-73.899353,0.419337,1
208,Bronx,Schuylerville/Edgewater Park,40.823318,-73.823539,8.228149,3
209,Manhattan,Seaport,40.709073,-74.003664,0.26003,1
210,Brooklyn,Sheepshead Bay,40.592024,-73.940507,3.987891,1
211,Manhattan,SoHo,40.723888,-74.001538,0.372735,1
212,Bronx,Soundview/Bruckner,40.827902,-73.86968,1.510737,1
213,Bronx,Soundview/Castle Hill,40.817859,-73.858135,5.537231,2
214,Staten Island,South Beach/Dongan Hills,40.586786,-74.085512,6.22784,1
215,Queens,South Jamaica,40.694428,-73.790965,3.713542,1
216,Queens,South Ozone Park,40.676154,-73.819459,7.661772,1
217,Brooklyn,South Williamsburg,40.703916,-73.958597,1.076734,1
218,Queens,Springfield Gardens North,40.67209,-73.773036,2.641099,1
219,Queens,Springfield Gardens South,40.662186,-73.764505,4.02079,1
220,Bronx,Spuyten Duyvil/Kingsbridge,40.882403,-73.910665,2.157547,1
221,Staten Island,Stapleton,40.618768,-74.073703,4.322837,1
222,Brooklyn,Starrett City,40.647527,-73.882413,1.077476,2
223,Queens,Steinway,40.777427,-73.905407,5.367816,1
224,Manhattan,Stuy Town/Peter Cooper Village,40.731821,-73.976598,0.517413,1
225,Brooklyn,Stuyvesant Heights,40.688168,-73.931888,2.917771,1
226,Queens,Sunnyside,40.737698,-73.924673,6.954136,1
227,Brooklyn,Sunset Park East,40.641886,-74.004653,2.520388,1
228,Brooklyn,Sunset Park West,40.652354,-74.011273,4.651589,1
229,Manhattan,Sutton Place/Turtle Bay North,40.756729,-73.965146,0.596218,1
230,Manhattan,Times Sq/Theatre District,40.759818,-73.984197,0.525963,1
231,Manhattan,TriBeCa/Civic Center,40.717773,-74.00788,1.109888,1
232,Manhattan,Two Bridges/Seward Park,40.714732,-73.983025,1.41459,1
233,Manhattan,UN/Turtle Bay South,40.749914,-73.970443,0.570664,2
234,Manhattan,Union Sq,40.740337,-73.990458,0.685699,1
235,Bronx,University Heights/Morris Heights,40.852521,-73.915976,1.974275,1
236,Manhattan,Upper East Side North,40.780436,-73.957012,0.96425,1
237,Manhattan,Upper East Side South,40.768615,-73.965635,0.899943,1
238,Manhattan,Upper West Side North,40.791705,-73.973049,1.140801,1
239,Manhattan,Upper West Side South,40.783961,-73.978632,1.219906,1
240,Bronx,Van Cortlandt Park,40.894599,-73.881977,6.757784,1
241,Bronx,Van Cortlandt Village,40.876512,-73.89562,2.383936,1
242,Bronx,Van Nest/Morris Park,40.846783,-73.850671,3.371993,1
243,Manhattan,Washington Heights North,40.857108,-73.932832,2.105516,1
244,Manhattan,Washington Heights South,40.841708,-73.941399,2.146054,1
245,Staten Island,West Brighton,40.630049,-74.10286,4.379712,1
246,Manhattan,West Chelsea/Hudson Yards,40.753309,-74.004016,1.193876,1
247,Bronx,West Concourse,40.828987,-73.92441,1.799323,1
248,Bronx,West Farms/Bronx River,40.834165,-73.87229,1.401164,1
249,Manhattan,West Village,40.734576,-74.002875,0.677411,1
250,Bronx,Westchester Village/Unionport,40.832101,-73.848641,2.225109,1
251,Staten Island,Westerleigh,40.61688,-74.125348,5.880113,1
252,Queens,Whitestone,40.788193,-73.815657,6.414667,1
253,Queens,Willets Point,40.760631,-73.841244,0.595107,1
254,Bronx,Williamsbridge/Olinville,40.882157,-73.858949,3.36992,1
255,Brooklyn,Williamsburg (North Side),40.718804,-73.957418,1.370054,1
256,Brooklyn,Williamsburg (South Side),40.71088,-73.959905,1.314982,1
257,Brooklyn,Windsor Terrace,40.653612,-73.977982,1.304595,1
258,Queens,Woodhaven,40.688721,-73.855767,3.437535,1
259,Bronx,Woodlawn/Wakefield,40.897932,-73.852215,3.692083,1
260,Queens,Woodside,40.744234,-73.906307,3.961197,1
261,Manhattan,World Trade Center,40.709139,-74.013023,0.322266,1
262,Manhattan,Yorkville East,40.775932,-73.94651,0.646403,2
263,Manhattan,Yorkville West,40.778766,-73.95101,0.616541,1
